Class Code:,Assignment Name:,Start Time,End Time,Wasted Time (Optional):,Time Spent:,,,Block:,Class Code:,# of Classes:,Homework/Class:,Time Budgeted:,Time Spent:,Deficit/Surplus:,Percent of Total,,,,Day Count:,Day:,Homework Total:,Day:,SPAN301,ENG301,SOM11/Free/Free Group 1,PHIL250,MATH301,BIO210,HIST301,CHEM230,QUEST,,,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,,Monday times,Tuesday times,Wednesday times,Thursday times,Friday times,Saturday times,Sunday times,,Day of Week:,Time:,Day:,Cumulative Time:
CHEM230,Videos,10:55 PM,11:09 PM,0:00:00,0:14,0,,,,,,,,,,,,,16,65,0.00,65,0.31,0.22,0.01,0.40,0.31,0.46,0.37,0.10,0.00,,,14.00,15.00,16.00,10.00,11.00,12.00,13.00,,0.00,0.00,0.01,0.00,0.00,0.00,0.00,,,,65,173.17
Thursday,DAY,9,14,0:00:00,0:00,10.09,,,,,,,,,,,,,17,66,0.00,66,0.31,0.22,0.01,0.40,0.31,0.46,0.37,0.10,0.00,,,14.00,15.00,16.00,17.00,11.00,12.00,13.00,,0.00,0.00,0.00,5.00,0.00,0.00,0.00,,,,66,173.17
BIO210,Page 2 deep dive,8:27 AM,9:41 AM,0:00:00,1:14,0,,,,,,,,,,,,,17,67,0.00,67,0.31,0.22,0.01,0.40,0.31,0.46,0.37,0.10,0.00,,,14.00,15.00,16.00,17.00,11.00,12.00,13.00,,0.00,0.00,0.00,0.05,0.00,0.00,0.00,,,,67,173.17
BIO210,Page 2 deep dive,12:23 PM,12:30 PM,0:00:00,0:07,0.00,,,,,,,,,,,,,17,68,0.00,68,0.31,0.22,0.01,0.40,0.31,0.46,0.37,0.10,0.00,,,14.00,15.00,16.00,17.00,11.00,12.00,13.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,68,173.17
ENG301,Discussion Reflection,12:32 PM,12:36 PM,0:00:00,0:04,0,,,,,,,,,,,,,17,69,0.00,69,0.31,0.22,0.01,0.40,0.31,0.46,0.37,0.10,0.00,,,14.00,15.00,16.00,17.00,11.00,12.00,13.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,69,173.17
SPAN301,La Lista de Latinos,12:40 PM,12:43 PM,0:00:00,0:03,0,,,,,,,,,,,,,17,70,0.00,70,0.31,0.22,0.01,0.40,0.31,0.46,0.37,0.10,0.00,,,14.00,15.00,16.00,17.00,11.00,12.00,13.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,70,173.17
MATH301,Stats #1 cont.,10:18 PM,10:50 PM,0:00:00,0:32,0,,,,,,,,,,,,,17,71,0.00,71,0.31,0.22,0.01,0.40,0.31,0.46,0.37,0.10,0.00,,,14.00,15.00,16.00,17.00,11.00,12.00,13.00,,0.00,0.00,0.00,0.02,0.00,0.00,0.00,,,,71,173.17
Friday,DAY,9,15,0:00:00,0:00,11.00,,,,,,,,,,,,,18,72,0.00,72,0.31,0.22,0.01,0.40,0.31,0.46,0.37,0.10,0.00,,,14.00,15.00,16.00,17.00,18.00,12.00,13.00,,0.00,0.00,0.00,0.00,6.00,0.00,0.00,,,,72,173.17
Saturday,DAY,9,16,0:00:00,0:00,0.01,,,,,,,,,,,,,19,73,0.00,73,0.31,0.22,0.01,0.40,0.31,0.46,0.37,0.10,0.00,,,14.00,15.00,16.00,17.00,18.00,19.00,13.00,,0.00,0.00,0.00,0.00,0.00,7.00,0.00,,,,73,173.17
Sunday,DAY,9,17,0:00:00,0:00,13.12,,,,,,,,,,,,,20,74,0.00,74,0.31,0.22,0.01,0.40,0.31,0.46,0.37,0.10,0.00,,,14.00,15.00,16.00,17.00,18.00,19.00,20.00,,0.00,0.00,0.00,0.00,0.00,0.00,8.00,,,,74,173.17
