Class Code:,Assignment Name:,Start Time,End Time,Wasted Time (Optional):,Time Spent:,,,Block:,Class Code:,# of Classes:,Homework/Class:,Time Budgeted:,Time Spent:,Deficit/Surplus:,Percent of Total,,,,Day Count:,Day:,Homework Total:,Day:,SPAN401,MATH401,SOM11,ENG301,MATH540,BIO340,CS301,HIST301,QUEST,,,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,,Monday times,Tuesday times,Wednesday times,Thursday times,Friday times,Saturday times,Sunday times,,Day of Week:,Time:,Day:,Cumulative Time:
Sunday,DAY,9,/24,0:00:00,0:00,0.04,,,,,,,,,,,,,22,79,0.00,79,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,19.00,20.00,15.00,21.00,17.00,11.00,22.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,79,2.14
SPAN401,Tarea Ocho,12:55 PM,2:10 PM,0:00:00,1:15,0.00,,,,,,,,,,,,,22,80,0.00,80,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,19.00,20.00,15.00,21.00,17.00,11.00,22.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.05,,,,80,2.14
Monday,DAY,9,/25,0:00:00,0:00,0.02,,,,,,,,,,,,,23,81,0.00,81,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,23.00,20.00,15.00,21.00,17.00,11.00,22.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,81,2.14
ENG301,Crucible Essay,11:00 PM,11:59 PM,0:00:00,0:59,0,,,,,,,,,,,,,23,82,0.00,82,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,23.00,20.00,15.00,21.00,17.00,11.00,22.00,,0.04,0.00,0.00,0.00,0.00,0.00,0.00,,,,82,2.14
Tuesday,DAY,9,/26,0:00:00,0:00,0.02,,,,,,,,,,,,,24,83,0.00,83,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,23.00,24.00,15.00,21.00,17.00,11.00,22.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,83,2.14
ENG301,Crucible Essay,12:00 AM,1:00 AM,0:00:00,1:00,0,,,,,,,,,,,,,24,84,0.00,84,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,23.00,24.00,15.00,21.00,17.00,11.00,22.00,,0.00,0.04,0.00,0.00,0.00,0.00,0.00,,,,84,2.14
ENG301,Crucible Essay,8:18 AM,8:33 AM,0:00:00,0:15,0,,,,,,,,,,,,,24,85,0.00,85,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,23.00,24.00,15.00,21.00,17.00,11.00,22.00,,0.00,0.01,0.00,0.00,0.00,0.00,0.00,,,,85,2.14
HIST301,Colonial Unit Essay,5:19 PM,6:40 PM,0:00:00,1:21,0.00,,,,,,,,,,,,,24,86,0.00,86,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,23.00,24.00,15.00,21.00,17.00,11.00,22.00,,0.00,0.06,0.00,0.00,0.00,0.00,0.00,,,,86,2.14
Wednesday,DAY,9,/27,0:00:00,0:00,0.10,,,,,,,,,,,,,25,87,0.00,87,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,23.00,24.00,25.00,21.00,17.00,11.00,22.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,87,2.14
SPAN401,Tarea Nueve,8:19 AM,8:28 AM,0:00:00,0:09,0,,,,,,,,,,,,,25,88,0.00,88,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,23.00,24.00,25.00,21.00,17.00,11.00,22.00,,0.00,0.00,0.01,0.00,0.00,0.00,0.00,,,,88,2.14
MATH401,Calculus HW,12:05 PM,12:15 PM,0:00:00,0:10,0,,,,,,,,,,,,,25,89,0.00,89,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,23.00,24.00,25.00,21.00,17.00,11.00,22.00,,0.00,0.00,0.01,0.00,0.00,0.00,0.00,,,,89,2.14
SPAN401,Tarea Nueve,12:17 PM,12:31 PM,0:00:00,0:14,0.00,,,,,,,,,,,,,25,90,0.00,90,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,23.00,24.00,25.00,21.00,17.00,11.00,22.00,,0.00,0.00,0.01,0.00,0.00,0.00,0.00,,,,90,2.14
MATH540,Assignment 5,12:34 PM,1:00 PM,0:00:00,0:26,0,,,,,,,,,,,,,25,91,0.00,91,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,23.00,24.00,25.00,21.00,17.00,11.00,22.00,,0.00,0.00,0.02,0.00,0.00,0.00,0.00,,,,91,2.14
HIST301,Colonial Unit Essay,4:52 PM,9:00 PM,0:00:00,4:08,0,,,,,,,,,,,,,25,92,0.00,92,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,23.00,24.00,25.00,21.00,17.00,11.00,22.00,,0.00,0.00,0.17,0.00,0.00,0.00,0.00,,,,92,2.14
HIST301,Colonial Unit Essay,11:39 PM,11:59 PM,0:00:00,0:20,0.00,,,,,,,,,,,,,25,93,0.00,93,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,23.00,24.00,25.00,21.00,17.00,11.00,22.00,,0.00,0.00,0.01,0.00,0.00,0.00,0.00,,,,93,2.14
Thursday,DAY,9,/28,0:00:00,0:00,0.23,,,,,,,,,,,,,26,94,0.00,94,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,23.00,24.00,25.00,26.00,17.00,11.00,22.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,94,2.14
HIST301,Colonial Unit Essay,12:01 AM,12:33 AM,0:00:00,0:32,0,,,,,,,,,,,,,26,95,0.00,95,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,23.00,24.00,25.00,26.00,17.00,11.00,22.00,,0.00,0.00,0.00,0.02,0.00,0.00,0.00,,,,95,2.14
HIST301,Colonial Unit Essay,6:59 AM,7:40 AM,0:00:00,0:41,0,,,,,,,,,,,,,26,96,0.00,96,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,23.00,24.00,25.00,26.00,17.00,11.00,22.00,,0.00,0.00,0.00,0.03,0.00,0.00,0.00,,,,96,2.14
HIST301,Colonial Unit Essay,8:23 AM,9:50 AM,0:00:00,1:27,0,,,,,,,,,,,,,26,97,0.00,97,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,23.00,24.00,25.00,26.00,17.00,11.00,22.00,,0.00,0.00,0.00,0.06,0.00,0.00,0.00,,,,97,2.14
HIST301,Colonial Unit Essay,10:00 AM,10:49 AM,0:00:00,0:49,0,,,,,,,,,,,,,26,98,0.00,98,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,23.00,24.00,25.00,26.00,17.00,11.00,22.00,,0.00,0.00,0.00,0.03,0.00,0.00,0.00,,,,98,2.14
HIST301,Colonial Unit Essay,12:30 PM,2:20 PM,0:00:00,1:50,0,,,,,,,,,,,,,26,99,0.00,99,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,23.00,24.00,25.00,26.00,17.00,11.00,22.00,,0.00,0.00,0.00,0.08,0.00,0.00,0.00,,,,99,2.14
Saturday,DAY,9,/30,0:00:00,0:00,0.07,,,,,,,,,,,,,27,100,0.00,100,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,23.00,24.00,25.00,26.00,17.00,27.00,22.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,100,2.14
OTHER,Perseverance Activity,8:15 AM,9:10 AM,0:00:00,0:55,0.00,,,,,,,,,,,,,27,101,0.00,101,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,23.00,24.00,25.00,26.00,17.00,27.00,22.00,,0.00,0.00,0.00,0.00,0.00,0.04,0.00,,,,101,2.14
COLLEGE,College Information Session Scheduling,12:14 PM,12:56 PM,0:00:00,0:42,0,,,,,,,,,,,,,27,102,0.00,102,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,23.00,24.00,25.00,26.00,17.00,27.00,22.00,,0.00,0.00,0.00,0.00,0.00,0.03,0.00,,,,102,2.14
MATH401,Epsilon Delta Proofs #4-6,4:10 PM,4:40 PM,0:00:00,0:30,0,,,,,,,,,,,,,27,103,0.00,103,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,23.00,24.00,25.00,26.00,17.00,27.00,22.00,,0.00,0.00,0.00,0.00,0.00,0.02,0.00,,,,103,2.14
Sunday,DAY,10,/1,0:00:00,0:00,0.00,,,,,,,,,,,,,28,104,0.00,104,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,23.00,24.00,25.00,26.00,17.00,27.00,28.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,104,2.14
MATH401,Epsilon Delta Proofs #4-6,9:00 AM,11:46 AM,0:00:00,2:46,0,,,,,,,,,,,,,28,105,0.00,105,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,23.00,24.00,25.00,26.00,17.00,27.00,28.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.12,,,,105,2.14
SPAN401,Tarea Once,5:35 PM,6:00 PM,0:00:00,0:25,0.00,,,,,,,,,,,,,28,106,0.00,106,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,23.00,24.00,25.00,26.00,17.00,27.00,28.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.02,,,,106,2.14
CS301,Research Item,7:10 PM,7:20 PM,0:00:00,0:10,0,,,,,,,,,,,,,28,107,0.00,107,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,23.00,24.00,25.00,26.00,17.00,27.00,28.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.01,,,,107,2.14
Monday,DAY,10,/2,0:00:00,0:00,0.00,,,,,,,,,,,,,29,108,0.00,108,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,29.00,24.00,25.00,26.00,17.00,27.00,28.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,108,2.14
MATH540,Stats Assignment 1,11:40 PM,,0:00:00,0:00,0.00,,,,,,,,,,,,,29,109,0.00,109,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,29.00,24.00,25.00,26.00,17.00,27.00,28.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,109,2.14
MATH540,Stats Assignment 1,11:40 PM,11:59 PM,0:00:00,0:19,0,,,,,,,,,,,,,29,110,0.00,110,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,29.00,24.00,25.00,26.00,17.00,27.00,28.00,,0.01,0.00,0.00,0.00,0.00,0.00,0.00,,,,110,2.14
Tuesday,DAY,10,/3,0:00:00,0:00,0.00,,,,,,,,,,,,,30,111,0.00,111,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,29.00,30.00,25.00,26.00,17.00,27.00,28.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,111,2.14
MATH540,Stats Assignment 1,12:00 AM,12:20 AM,0:00:00,0:20,0,,,,,,,,,,,,,30,112,0.00,112,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,29.00,30.00,25.00,26.00,17.00,27.00,28.00,,0.00,0.01,0.00,0.00,0.00,0.00,0.00,,,,112,2.14
MATH540,Stats Assignment 1,9:50 PM,10:10 PM,0:00:00,0:20,0.00,,,,,,,,,,,,,30,113,0.00,113,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,29.00,30.00,25.00,26.00,17.00,27.00,28.00,,0.00,0.01,0.00,0.00,0.00,0.00,0.00,,,,113,2.14
Wednesday,DAY,10,/4,0:00:00,0:00,0.00,,,,,,,,,,,,,31,114,0.00,114,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,29.00,30.00,31.00,26.00,17.00,27.00,28.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,114,2.14
BIO340,Teleost Osmoregulatory/Excretory Presentation,7:10 AM,7:55 AM,0:00:00,0:45,0,,,,,,,,,,,,,31,115,0.00,115,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,29.00,30.00,31.00,26.00,17.00,27.00,28.00,,0.00,0.00,0.03,0.00,0.00,0.00,0.00,,,,115,2.14
MATH540,Stats Assignment 1,12:30 PM,1:10 PM,0:00:00,0:40,0,,,,,,,,,,,,,31,116,0.00,116,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,29.00,30.00,31.00,26.00,17.00,27.00,28.00,,0.00,0.00,0.03,0.00,0.00,0.00,0.00,,,,116,2.14
MATH540,Stats Assignment 1,8:15 PM,8:35 PM,0:00:00,0:20,0.00,,,,,,,,,,,,,31,117,0.00,117,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,29.00,30.00,31.00,26.00,17.00,27.00,28.00,,0.00,0.00,0.01,0.00,0.00,0.00,0.00,,,,117,2.14
CS301,React Navigation,9:05 PM,9:24 PM,0:00:00,0:19,0,,,,,,,,,,,,,31,118,0.00,118,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,29.00,30.00,31.00,26.00,17.00,27.00,28.00,,0.00,0.00,0.01,0.00,0.00,0.00,0.00,,,,118,2.14
ENG301,Crucible Essay,11:00 PM,11:59 PM,0:00:00,0:59,0,,,,,,,,,,,,,31,119,0.00,119,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,29.00,30.00,31.00,26.00,17.00,27.00,28.00,,0.00,0.00,0.04,0.00,0.00,0.00,0.00,,,,119,2.14
Thursday,DAY,12:00 AM,/5,0:00:00,0:00,0.00,,,,,,,,,,,,,32,120,0.00,120,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,29.00,30.00,31.00,32.00,17.00,27.00,28.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,120,2.14
ENG301,Crucible Essay,12:00 AM,2:15 AM,0:00:00,2:15,0.00,,,,,,,,,,,,,32,121,0.00,121,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,29.00,30.00,31.00,32.00,17.00,27.00,28.00,,0.00,0.00,0.00,0.09,0.00,0.00,0.00,,,,121,2.14
ENG301,Crucible Essay,7:00 AM,7:48 AM,0:00:00,0:48,0.00,,,,,,,,,,,,,32,122,0.00,122,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,29.00,30.00,31.00,32.00,17.00,27.00,28.00,,0.00,0.00,0.00,0.03,0.00,0.00,0.00,,,,122,2.14
ENG301,Crucible Essay,10:30 AM,11:00 AM,0:00:00,0:30,0,,,,,,,,,,,,,32,123,0.00,123,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,29.00,30.00,31.00,32.00,17.00,27.00,28.00,,0.00,0.00,0.00,0.02,0.00,0.00,0.00,,,,123,2.14
ENG301,Crucible Essay,1:30 PM,2:30 PM,0:00:00,1:00,0.00,,,,,,,,,,,,,32,124,0.00,124,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,29.00,30.00,31.00,32.00,17.00,27.00,28.00,,0.00,0.00,0.00,0.04,0.00,0.00,0.00,,,,124,2.14
CS301,Research Item,11:20 PM,11:59 AM,0:00:00,12:39,0,,,,,,,,,,,,,32,,,,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,29.00,30.00,31.00,32.00,17.00,27.00,28.00,,0.00,0.00,0.00,-0.47,0.00,0.00,0.00,,,,,2.14
Friday,DAY,12:00 AM,/6,0:00:00,0:00,0.00,,,,,,,,,,,,,33,,,,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,29.00,30.00,31.00,32.00,33.00,27.00,28.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,2.14
OTHER,Friendwatch Research,12:10 AM,12:55 AM,0:00:00,0:45,0,,,,,,,,,,,,,33,,,,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,29.00,30.00,31.00,32.00,33.00,27.00,28.00,,0.00,0.00,0.00,0.00,0.03,0.00,0.00,,,,,2.14
ENG301,Crucible Essay,6:04 PM,7:00 PM,0:00:00,0:56,0,,,,,,,,,,,,,33,,,,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,29.00,30.00,31.00,32.00,33.00,27.00,28.00,,0.00,0.00,0.00,0.00,0.04,0.00,0.00,,,,,2.14
,,,,0:00:00,0:00,0.00,,,,,,,,,,,,,33,,,,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,29.00,30.00,31.00,32.00,33.00,27.00,28.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,,,,0:00:00,0:00,0,,,,,,,,,,,,,33,,,,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,29.00,30.00,31.00,32.00,33.00,27.00,28.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,,,,0:00:00,0:00,0.00,,,,,,,,,,,,,33,,,,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,29.00,30.00,31.00,32.00,33.00,27.00,28.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,,,,0:00:00,0:00,0,,,,,,,,,,,,,33,,,,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,29.00,30.00,31.00,32.00,33.00,27.00,28.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,,,,0:00:00,0:00,0.00,,,,,,,,,,,,,33,,,,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,29.00,30.00,31.00,32.00,33.00,27.00,28.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,,,,0:00:00,0:00,0.00,,,,,,,,,,,,,33,,,,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,29.00,30.00,31.00,32.00,33.00,27.00,28.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,,,,0:00:00,0:00,0.00,,,,,,,,,,,,,33,,,,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,29.00,30.00,31.00,32.00,33.00,27.00,28.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,,,,0:00:00,0:00,0,,,,,,,,,,,,,33,,,,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,29.00,30.00,31.00,32.00,33.00,27.00,28.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,,,,0:00:00,0:00,0,,,,,,,,,,,,,33,,,,,,,,,,,,,,,29.00,30.00,31.00,32.00,33.00,27.00,28.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,,,,0:00:00,0:00,0.00,,,,,,,,,,,,,33,,,,,,,,,,,,,,,29.00,30.00,31.00,32.00,33.00,27.00,28.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,,,,0:00:00,0:00,0.00,,,,,,,,,,,,,33,,,,,,,,,,,,,,,29.00,30.00,31.00,32.00,33.00,27.00,28.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,,,,0:00:00,0:00,0.00,,,,,,,,,,,,,33,,,,,,,,,,,,,,,29.00,30.00,31.00,32.00,33.00,27.00,28.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,,,,0:00:00,0:00,0.00,,,,,,,,,,,,,33,,,,,,,,,,,,,,,29.00,30.00,31.00,32.00,33.00,27.00,28.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,,,,0:00:00,0:00,0.00,,,,,,,,,,,,,33,,,,,,,,,,,,,,,29.00,30.00,31.00,32.00,33.00,27.00,28.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,,,,0:00:00,0:00,0.00,,,,,,,,,,,,,33,,,,,,,,,,,,,,,29.00,30.00,31.00,32.00,33.00,27.00,28.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,,,,0:00:00,0:00,0.00,,,,,,,,,,,,,33,,,,,,,,,,,,,,,29.00,30.00,31.00,32.00,33.00,27.00,28.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,,,,0:00:00,0:00,0.00,,,,,,,,,,,,,33,,,,,,,,,,,,,,,29.00,30.00,31.00,32.00,33.00,27.00,28.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,,,,0:00:00,0:00,0.00,,,,,,,,,,,,,33,,,,,,,,,,,,,,,29.00,30.00,31.00,32.00,33.00,27.00,28.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,,,,0:00:00,0:00,0.00,,,,,,,,,,,,,33,,,,,,,,,,,,,,,29.00,30.00,31.00,32.00,33.00,27.00,28.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,,,,0:00:00,0:00,0.00,,,,,,,,,,,,,33,,,,,,,,,,,,,,,29.00,30.00,31.00,32.00,33.00,27.00,28.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,,,,0:00:00,0:00,0,,,,,,,,,,,,,33,,,,,,,,,,,,,,,29.00,30.00,31.00,32.00,33.00,27.00,28.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,,,,0:00:00,0:00,0,,,,,,,,,,,,,33,,,,,,,,,,,,,,,29.00,30.00,31.00,32.00,33.00,27.00,28.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,,,,0:00:00,0:00,0,,,,,,,,,,,,,33,,,,,,,,,,,,,,,29.00,30.00,31.00,32.00,33.00,27.00,28.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,,,,0:00:00,0:00,0.00,,,,,,,,,,,,,33,,,,,,,,,,,,,,,29.00,30.00,31.00,32.00,33.00,27.00,28.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,,,,0:00:00,0:00,0,,,,,,,,,,,,,33,,,,,,,,,,,,,,,29.00,30.00,31.00,32.00,33.00,27.00,28.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,,,,0:00:00,0:00,0,,,,,,,,,,,,,33,,,,,,,,,,,,,,,29.00,30.00,31.00,32.00,33.00,27.00,28.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,,,,0:00:00,0:00,0,,,,,,,,,,,,,33,,,,,,,,,,,,,,,29.00,30.00,31.00,32.00,33.00,27.00,28.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,,,,0:00:00,0:00,0,,,,,,,,,,,,,33,,,,,,,,,,,,,,,29.00,30.00,31.00,32.00,33.00,27.00,28.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,,,,0:00:00,0:00,0.00,,,,,,,,,,,,,33,,,,,,,,,,,,,,,29.00,30.00,31.00,32.00,33.00,27.00,28.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,,,,0:00:00,0:00,0.00,,,,,,,,,,,,,33,,,,,,,,,,,,,,,29.00,30.00,31.00,32.00,33.00,27.00,28.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,,,,0:00:00,0:00,0,,,,,,,,,,,,,33,,,,,,,,,,,,,,,29.00,30.00,31.00,32.00,33.00,27.00,28.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,,,,0:00:00,0:00,0,,,,,,,,,,,,,33,,,,,,,,,,,,,,,29.00,30.00,31.00,32.00,33.00,27.00,28.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,,,,0:00:00,0:00,0,,,,,,,,,,,,,33,,,,,,,,,,,,,,,29.00,30.00,31.00,32.00,33.00,27.00,28.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,,,,0:00:00,0:00,0,,,,,,,,,,,,,33,,,,,,,,,,,,,,,29.00,30.00,31.00,32.00,33.00,27.00,28.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,,,,0:00:00,0:00,0.00,,,,,,,,,,,,,33,,,,,,,,,,,,,,,29.00,30.00,31.00,32.00,33.00,27.00,28.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,,,,0:00:00,0:00,0,,,,,,,,,,,,,33,,,,,,,,,,,,,,,29.00,30.00,31.00,32.00,33.00,27.00,28.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,,,,0:00:00,0:00,0,,,,,,,,,,,,,33,,,,,,,,,,,,,,,29.00,30.00,31.00,32.00,33.00,27.00,28.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,,,,0:00:00,0:00,0,,,,,,,,,,,,,33,,,,,,,,,,,,,,,29.00,30.00,31.00,32.00,33.00,27.00,28.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,,,,0:00:00,0:00,0,,,,,,,,,,,,,33,,,,,,,,,,,,,,,29.00,30.00,31.00,32.00,33.00,27.00,28.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,,,,0:00:00,0:00,0.00,,,,,,,,,,,,,33,,,,,,,,,,,,,,,29.00,30.00,31.00,32.00,33.00,27.00,28.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,,,,0:00:00,0:00,0,,,,,,,,,,,,,33,,,,,,,,,,,,,,,29.00,30.00,31.00,32.00,33.00,27.00,28.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,,,,0:00:00,0:00,0,,,,,,,,,,,,,33,,,,,,,,,,,,,,,29.00,30.00,31.00,32.00,33.00,27.00,28.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,,,,0:00:00,0:00,0.00,,,,,,,,,,,,,33,,,,,,,,,,,,,,,29.00,30.00,31.00,32.00,33.00,27.00,28.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,,,,0:00:00,0:00,0,,,,,,,,,,,,,33,,,,,,,,,,,,,,,29.00,30.00,31.00,32.00,33.00,27.00,28.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,,,,0:00:00,0:00,0,,,,,,,,,,,,,33,,,,,,,,,,,,,,,29.00,30.00,31.00,32.00,33.00,27.00,28.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,,,,0:00:00,0:00,0,,,,,,,,,,,,,33,,,,,,,,,,,,,,,29.00,30.00,31.00,32.00,33.00,27.00,28.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,,,,0:00:00,0:00,0,,,,,,,,,,,,,33,,,,,,,,,,,,,,,29.00,30.00,31.00,32.00,33.00,27.00,28.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,,,,0:00:00,0:00,0.00,,,,,,,,,,,,,33,,,,,,,,,,,,,,,29.00,30.00,31.00,32.00,33.00,27.00,28.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,,,,0:00:00,0:00,0,,,,,,,,,,,,,33,,,,,,,,,,,,,,,29.00,30.00,31.00,32.00,33.00,27.00,28.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
